id_place,id_area,id_price,id_type,name_place,address_place,start_time,end_time,latitude,longitude,phone_place,email_contact_place,view_place,describe_place,image_url
1,1006,3001,4001,Nhà gốm Tư Buôi,"57B, đường 8 tháng 3, phường 5, Thành phố Vĩnh Long",9:00,18:00,10.24508622,105.9855315,2303834286,vophuong2067@gmail.com,2,<p>Nhà gốm Tư Buôi</p>,https://firebasestorage.googleapis.com/v0/b/vilo-tourism.appspot.com/o/nhagomtubuoi.jpg?alt=media&token=b96580d8-8e0e-457d-8431-4d2e7bc167c1
2,1006,3001,4000,Khu du lịch sinh thái An Bình,"Số 01, đường 1 tháng 5, phường 1, Thành phố Vĩnh Long",9:00,18:00,10.269585,105.985353,2703858612,anbinh@cuulongtourist.com,8,Địa điểm khu du lịch sinh thái xanh,https://firebasestorage.googleapis.com/v0/b/vilo-tourism.appspot.com/o/khudulichanbinh.jpg?alt=media&token=16b5a50e-e4b3-4427-9899-9c60019f0cbd
3,1006,3000,4000,Khu du lịch Mekong Hometown Rest & Farm,"Số 169, Tổ 9, Ấp Tân Vĩnh Thuận, phường Tân Ngãi, Thành phố Vĩnh Long",8:00,23:59,10.275032,105.92493,939952384,sales@mekonghometown.vn,1,Khu du lịch Mekong Hometown với diện tích 14ha,https://firebasestorage.googleapis.com/v0/b/vilo-tourism.appspot.com/o/khudulichmekonghometownrestfarm.jpg?alt=media&token=772d936e-1da0-40ce-a816-84116eeb6aba
4,1006,3000,4000,Cơ sở sản xuất và kinh doanh Peace Farm,"79 Tân Quối Đông, phường Trường An, Thành phố Vĩnh Long",8:00,23:59,10.26116424,105.9320722,908370824,hienpeacefarm@gmail.com,1,Cơ sở sản xuất và kinh doanh Peace Farm,https://firebasestorage.googleapis.com/v0/b/vilo-tourism.appspot.com/o/cososanxuatvakinhdoanhpeacefarm.jpg?alt=media&token=def00359-83d8-4df5-9050-d59a430ca809
5,1006,3000,4000,Miếu Công Thần,"226 Mười Bốn Tháng Chín, Phường 5, Thành phố Vĩnh Long",7:00,23:59,10.2603985,105.9863279,2703831555,mieucongthan@gmail.com,4,"<p>Ngày 31/8/1998, Bộ Văn hóa, Thông tin (nay là Bộ Văn hóa, Thể thao và Du lịch) ban hành Quyết định công nhận Công Thần Miếu Vĩnh Long là di tích Lịch sử - Văn hóa cấp Quốc gia. Theo Đại Nam nhất thống chí. Miếu Hội đồng ở Vĩnh Long xây dựng vào năm Minh Mạng thứ 17 (1837) tại thôn Thanh Mỹ Đông, huyện Vĩnh Bình. Dân gian thường gọi Miếu Hội đồng là Đình Khao vì các quan ở thành Vĩnh Long thời bấy giờ thường sử dụng nơi đây mở tiệc khao thưởng quân lính.</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/mieucongthan.jpeg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=W2dO9GrfwM%2FnGzGOZ3lV8mErskXM3R3kwo4mjqUvMeDFtXm39okgSOXKXFGzJETurVAFInJmCo9JEJmP1Ut%2BkyWbNknyZBUGzK09oLrALWSUnuZwXDU7F%2BaggdUWzh6o%2BzlkPXlByE5SHo1urCIaL%2B%2FHDEvpgozDKTTaqcuIbtu8ccynSUg0hpfQkAysp2Rdcgbu6yesVh1Jx8%2B2IS1rky%2Ftp2Pq9W8qvtvtWdWm1GO0GZLzhurNv43yiCrgZ4Z1iL6ngjzBTfbB4Pv1cyDdbv%2BT%2FWqoYV%2BCU0xnXp5Gcu8EgcFb1sAs7V5Z86pDVheIMIY0j3%2BF6lxlESFtLQ%2BuXg%3D%3D
6,1006,3000,4000,Thất Phủ Miếu ( Chùa Ông),"22 Nguyễn Chí Thanh, Phường 5, Thành phố Vĩnh Long",7:30,17:30,10.25483615,105.9780615,913889019,chuaong@gmail.com,0,"<p>Miếu Thất Phủ làm theo kiểu “nội công ngoại quốc”. Phía sau là chính điện, phía trước là tiền đường, hai bên là Đông Sương và Tây Sương. Diện tích xây dựng khoảng 800 mét vuông, xung quanh được bao kín bởi những vách gạch kiên cố. Tuy các khu vực chính nằm xa nhau nhưng có thể thông hành qua lại nhờ các nhà nối, gọi là “hà cầu” là những cây cầu bắc qua ao sen.</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/thatphumieuchuaong.jpg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=AH6%2FHm6DvBL82dwEbUshjVO5CxfvXGifUUxYp5nm9jTyd6vKgijIHjRr8UoxwVIUUkUYz4JmxatKNOoEYepvgeaqzLz4S5ZOIWCqOunmHOSI5%2FLeM8NmTbm6Jq%2BJpfFpNkhFi9w6BBTpGZXI%2BOtrvZUAxY5cWbNgXA4qdvVoX5%2Bsro7IzT%2FeR%2B135ggGxBlD1nzOihxRvR%2Fq5NQmFC8M0sFRdcImkPz6gObQp3qv8%2BcGCw44Qhrpt7HO0XnE%2Bq1WeNOa%2FEGhUtAFu4LLmUCDmz9y%2BhEpShRg8cOeT8MiRv%2FyWi%2FdNDq%2FgoEf2RKB5Zc3f%2BxmOqcukJ8b3C9WH83Fmg%3D%3D
7,1006,3000,4000,Đình Long Thanh,"phường 5, Thành phố Vĩnh Long",7:00,23:59,10.23844226,105.9899405,1228637113,dinhlongthanh@gmail.com,0,"<p>Đình Long Thanh hay còn gọi là Long Thanh võ miếu hiện nay tọa lạc ở phường 5, thành phố Vĩnh Long. Cách trung tâm thành phố khoảng 3km, có khuôn viên cây cảnh đẹp và thoáng mát</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/dinhlongthanh.jpg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=Eq3PFsDXK2YzO9d8XM6qixlvRngejN80dAwY1hlwha%2Fhx0KpnGNectBxUYrrxb44Y0FZJSs5f8wqBrN4I4Kx7twEnCclxKI9UUVvb1ICOK6xpkGRqSPclt6AoAIYWxHM%2BFiS3BrKduOxrDRVVUN7JoaNlZbeVoK3r%2FF0O10a%2B0lprs3fJut8lvbXtI3tytZx8CkjK%2Bt0cBcnPRWkKt7yTWmN3mo0Qa6ki2ls%2FfxksbAPbx9bEJn6YJS2YLG06KUB51yUbWXGIM2ePsXNvx1pXjkIIqI1DklQ2HOQo%2B4d2JCwfHcvXbzBNPD6vC8VXe9NI11uTsXYJyAoIok%2BdSGiFw%3D%3D
8,1006,3000,4000,Văn Thánh Miếu Vĩnh Long,"phường 4, Thành phố Vĩnh Long",7:00,23:59,10.24279106,105.9846036,Không có,vanthanhmieuvinhlong@gmail.com,0,"<p>Văn Thánh miếu là một công trình đề cao Nho giáo, là thiết chế văn hóa chính thống của nhà nước phong kiến. Ở Nam Bộ có 06 tỉnh nhưng chỉ có ba Văn miếu được xây dựng: ở Biên Hòa (1715), Gia Định (1824) và Vĩnh Long (1866). So với các Văn miếu khác ở Nam Bộ thì Văn miếu Vĩnh Long xây dựng muộn nhất và là công trình duy nhất còn tồn tại cho đến hôm nay.</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/vanthanhmieuvinhlong.jpg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=HgnEVb%2FiQC6SLgpZaAPASXVLZrcTfRUtyocLtFqegQTXaujARz3RR1VQY3kOZXeehflpR7thWLItAriM27ZXY6Ua%2FU12KGo8R1c6ew2R%2BSmSFftRWPF6w8ZsssgD61lBqj3TkLWbjvEU2vmM6g3PHODnz5mK5KETDuvfk3%2BWu7YNwbEB1mpstNHcqxlEnNsxAOan%2BH8S5T0aBU39SYD%2Fo5mSi6a9CAtls2AyNL8Kts%2BwY34ESg7u5WG9jtzk7V9p%2BerATSnb4dM35JJr4BbPUAg5coJJvKeZns23JqfHXG%2FpzNDW2yaetvzVdsZeTJBD2oXIAIsxghIOvxJGWcSGNg%3D%3D
9,1006,3000,4000,Bảo Tàng Vĩnh Long,"Số 1, đường Phan Bội Châu, phường 1, Thành phố Vĩnh Long",7:00,17:00,10.25735385,105.9713255,2703823181,btang.shvttdl@vinhlong.gov.vn,0,"<p>Bảo tàng Vĩnh Long tọa lạc tại vị trí trung tâm thành phố, gần chợ, nằm cạnh khách sạn Cửu Long, trước mặt là bến tàu du lịch trên dòng sông Cổ Chiên lịch sử, bên kia sông là cù lao An Bình với những vườn cây xanh, trái ngọt, có nhiều khu du lịch sinh thái theo loại hình “homestay”,…Trong khuôn viên bảo tàng có nhiều cây cổ thụ đã được công nhận “Cây di tích lịch sử văn hóa Việt Nam” hòa quyện với những khu nhà trưng bày tạo nên một tổng thể không gian cổ kính, thoáng mở, rợp bóng mát, đẹp nhất thành phố Vĩnh Long, đã trở thành nơi vui chơi, sinh hoạt của cộng đồng, là điểm thu hút công chúng đến nghiên cứu, học tập, tham quan, du lịch.</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/baotangvinhlong.jpg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=Py%2BmSitMbeKqt3dG0W4dee0HtWJ860%2Bf0ooE8nCWMpzrWR1kNn7urLlBXFUlP62YfmEdwiIo5bU3q82Mds43L2ebwVHnEvMR%2F23b6PVX9iaJeLpbwEoYgVkfrPBUeI%2B3zUFwRBpr79Qp6SjIwuRhJjs4s1Csr6O%2FfSSQn1rVhV8JtaLvi4hOn0DNpSY7i81c0pJ4oPkRNVkiKNmp3bHxyifl9vAwm5je3n8slPvzehk7wD%2B55yn8z6utSM3QWGt2QrXmCUj6Lcjuq95DunG3YMOK%2Fiqu22FOD0Oz9E4e4lF8nB%2FpRtAmeRJEBkmnf%2BP52QFgPQeu10ZLB%2B2w2MDbqg%3D%3D
10,1006,3000,4000,Đình Tân Hoa,"Quốc lộ 80, phường Tân Hòa, Thành phố Vĩnh Long",7:30,17:00,10.26949367,105.9076658,Không có,dinhtanhoa@gmail.com,0,"<p>Trước đây, đình Tân Hoa toạ lạc tại huyện Vĩnh Bình, Phủ Định Viễn, nằm bên bờ sông Tiền, hướng mặt ra vàm rạch Cái Đôi nên dân thường gọi là đình Cái Đôi. Thời gian dài do di tích nằm gần sông Tiền nên bị nước xoáy mòn, sụp lỡ. Năm 2008, để bảo tồn di sản quốc gia Nhà nước đã đầu tư kinh phí di dời ngôi đình đến địa điểm hiện nay thuộc ấp Tân Hưng, xã Tân Hoà, thành phố Vĩnh Long. Đây là là ngôi đình mới được di dời phục dựng lại ở địa điểm mới cách đình cũ khoảng 600 mét, nằm ven quốc lộ 80, hướng đi thị xã Sa đéc, tỉnh Đồng Tháp, quay mặt về hướng Nam. Công việc di dời kéo dài khoảng một năm đảm bảo giữ nguyên theo đúng kiến trúc ban đầu của ngôi đình.</p>",https://storage.googleapis.com/vilo-tourism.appspot.com/dinhtanhoa.jpg?GoogleAccessId=firebase-adminsdk-jgppv%40vilo-tourism.iam.gserviceaccount.com&Expires=16725225600&Signature=fHGg7GxB3reAdTSc20JWr5wauox6Jw5UquBJGd8fUOEvbB1hX54CO1ObBV2H61eG4jzYngQ49y0YxMudAPGaveXmFkZxe6r%2B2gbchl1DEU3vipcMS3nCChvcoTv2ZnWSoKd%2B6nsA0DD2i0TeZ9EKRKwWJIOGIjsAtCH8rQgoJgYzXR72gsA3%2Fy%2BoP70n9wCEG9naBXpySQPKi4fAQ6wo8jqgFtXfRS3S9E9FlTAqU9t9%2Fq2TyWbgogAPUatK%2F%2B3QCMXhRGsW46Jw5qh3SyGtVuZdeFZFtT%2BLepyWl%2FTQf49ilUuB2SiA3aYAORxv%2BEIbKvnXx8%2BOq0E4wZlPWG4wtw%3D%3D
